Welcome to the Temperature Conversion chart. 
Please enter a valid step factor[1-9]: 5

Fahrenheit |  Celsius 		Celsius   | Fahrenheit
 _______________________________________________________
     -20.0  |   -28.9 	  |-|	  -20.0   |     -4.0 
     -15.0  |   -26.1 	  |-|	  -15.0   |      5.0 
     -10.0  |   -23.3 	  |-|	  -10.0   |     14.0 
      -5.0  |   -20.6 	  |-|	   -5.0   |     23.0 
       0.0  |   -17.8 	  |-|	    0.0   |     32.0 
       5.0  |   -15.0 	  |-|	    5.0   |     41.0 
      10.0  |   -12.2 	  |-|	   10.0   |     50.0 
      15.0  |    -9.4 	  |-|	   15.0   |     59.0 
      20.0  |    -6.7 	  |-|	   20.0   |     68.0 
      25.0  |    -3.9 	  |-|	   25.0   |     77.0 
      30.0  |    -1.1 	  |-|	   30.0   |     86.0 
      35.0  |     1.7 	  |-|	   35.0   |     95.0 
      40.0  |     4.4 	  |-|	   40.0   |    104.0 
      45.0  |     7.2 	  |-|	   45.0   |    113.0 
      50.0  |    10.0 	  |-|	   50.0   |    122.0 
      55.0  |    12.8 	  |-|	   55.0   |    131.0 
      60.0  |    15.6 	  |-|	   60.0   |    140.0 
      65.0  |    18.3 	  |-|	   65.0   |    149.0 
      70.0  |    21.1 	  |-|	   70.0   |    158.0 
      75.0  |    23.9 	  |-|	   75.0   |    167.0 
      80.0  |    26.7 	  |-|	   80.0   |    176.0 
      85.0  |    29.4 	  |-|	   85.0   |    185.0 
      90.0  |    32.2 	  |-|	   90.0   |    194.0 
      95.0  |    35.0 	  |-|	   95.0   |    203.0 
     100.0  |    37.8 	  |-|	  100.0   |    212.0 
     105.0  |    40.6 	  |-|	  105.0   |    221.0 
     110.0  |    43.3 	  |-|	  110.0   |    230.0 
     115.0  |    46.1 	  |-|	  115.0   |    239.0 
     120.0  |    48.9 	  |-|	  120.0   |    248.0 
     125.0  |    51.7 	  |-|	  125.0   |    257.0 
     130.0  |    54.4 	  |-|	  130.0   |    266.0 
     135.0  |    57.2 	  |-|	  135.0   |    275.0 
     140.0  |    60.0 	  |-|	  140.0   |    284.0 
     145.0  |    62.8 	  |-|	  145.0   |    293.0 
     150.0  |    65.6 	  |-|	  150.0   |    302.0 
     155.0  |    68.3 	  |-|	  155.0   |    311.0 
     160.0  |    71.1 	  |-|	  160.0   |    320.0 
     165.0  |    73.9 	  |-|	  165.0   |    329.0 
     170.0  |    76.7 	  |-|	  170.0   |    338.0 
     175.0  |    79.4 	  |-|	  175.0   |    347.0 
     180.0  |    82.2 	  |-|	  180.0   |    356.0 
     185.0  |    85.0 	  |-|	  185.0   |    365.0 
     190.0  |    87.8 	  |-|	  190.0   |    374.0 
     195.0  |    90.6 	  |-|	  195.0   |    383.0 
     200.0  |    93.3 	  |-|	  200.0   |    392.0 
     205.0  |    96.1 	  |-|	  205.0   |    401.0 
     210.0  |    98.9 	  |-|	  210.0   |    410.0 
     215.0  |   101.7 	  |-|	  215.0   |    419.0 
     220.0  |   104.4 	  |-|	  220.0   |    428.0 
     225.0  |   107.2 	  |-|	  225.0   |    437.0 
     230.0  |   110.0 	  |-|	  230.0   |    446.0 
     235.0  |   112.8 	  |-|	  235.0   |    455.0 
     240.0  |   115.6 	  |-|	  240.0   |    464.0 
     245.0  |   118.3 	  |-|	  245.0   |    473.0 
     250.0  |   121.1 	  |-|	  250.0   |    482.0 
     255.0  |   123.9 	  |-|	  255.0   |    491.0 
     260.0  |   126.7 	  |-|	  260.0   |    500.0 
     265.0  |   129.4 	  |-|	  265.0   |    509.0 
     270.0  |   132.2 	  |-|	  270.0   |    518.0 
     275.0  |   135.0 	  |-|	  275.0   |    527.0 
     280.0  |   137.8 	  |-|	  280.0   |    536.0 
Welcome to the Temperature Conversion chart. 
Please enter a valid step factor[1-9]:  Fahrenheit |  Celsius 		Celsius   | Fahrenheit
 _______________________________________________________
     -20.0  |   -28.9 	  |-|	  -20.0   |     -4.0 
     -15.0  |   -26.1 	  |-|	  -15.0   |      5.0 
     -10.0  |   -23.3 	  |-|	  -10.0   |     14.0 
      -5.0  |   -20.6 	  |-|	   -5.0   |     23.0 
       0.0  |   -17.8 	  |-|	    0.0   |     32.0 
       5.0  |   -15.0 	  |-|	    5.0   |     41.0 
      10.0  |   -12.2 	  |-|	   10.0   |     50.0 
      15.0  |    -9.4 	  |-|	   15.0   |     59.0 
      20.0  |    -6.7 	  |-|	   20.0   |     68.0 
      25.0  |    -3.9 	  |-|	   25.0   |     77.0 
      30.0  |    -1.1 	  |-|	   30.0   |     86.0 
      35.0  |     1.7 	  |-|	   35.0   |     95.0 
      40.0  |     4.4 	  |-|	   40.0   |    104.0 
      45.0  |     7.2 	  |-|	   45.0   |    113.0 
      50.0  |    10.0 	  |-|	   50.0   |    122.0 
      55.0  |    12.8 	  |-|	   55.0   |    131.0 
      60.0  |    15.6 	  |-|	   60.0   |    140.0 
      65.0  |    18.3 	  |-|	   65.0   |    149.0 
      70.0  |    21.1 	  |-|	   70.0   |    158.0 
      75.0  |    23.9 	  |-|	   75.0   |    167.0 
      80.0  |    26.7 	  |-|	   80.0   |    176.0 
      85.0  |    29.4 	  |-|	   85.0   |    185.0 
      90.0  |    32.2 	  |-|	   90.0   |    194.0 
      95.0  |    35.0 	  |-|	   95.0   |    203.0 
     100.0  |    37.8 	  |-|	  100.0   |    212.0 
     105.0  |    40.6 	  |-|	  105.0   |    221.0 
     110.0  |    43.3 	  |-|	  110.0   |    230.0 
     115.0  |    46.1 	  |-|	  115.0   |    239.0 
     120.0  |    48.9 	  |-|	  120.0   |    248.0 
     125.0  |    51.7 	  |-|	  125.0   |    257.0 
     130.0  |    54.4 	  |-|	  130.0   |    266.0 
     135.0  |    57.2 	  |-|	  135.0   |    275.0 
     140.0  |    60.0 	  |-|	  140.0   |    284.0 
     145.0  |    62.8 	  |-|	  145.0   |    293.0 
     150.0  |    65.6 	  |-|	  150.0   |    302.0 
     155.0  |    68.3 	  |-|	  155.0   |    311.0 
     160.0  |    71.1 	  |-|	  160.0   |    320.0 
     165.0  |    73.9 	  |-|	  165.0   |    329.0 
     170.0  |    76.7 	  |-|	  170.0   |    338.0 
     175.0  |    79.4 	  |-|	  175.0   |    347.0 
     180.0  |    82.2 	  |-|	  180.0   |    356.0 
     185.0  |    85.0 	  |-|	  185.0   |    365.0 
     190.0  |    87.8 	  |-|	  190.0   |    374.0 
     195.0  |    90.6 	  |-|	  195.0   |    383.0 
     200.0  |    93.3 	  |-|	  200.0   |    392.0 
     205.0  |    96.1 	  |-|	  205.0   |    401.0 
     210.0  |    98.9 	  |-|	  210.0   |    410.0 
     215.0  |   101.7 	  |-|	  215.0   |    419.0 
     220.0  |   104.4 	  |-|	  220.0   |    428.0 
     225.0  |   107.2 	  |-|	  225.0   |    437.0 
     230.0  |   110.0 	  |-|	  230.0   |    446.0 
     235.0  |   112.8 	  |-|	  235.0   |    455.0 
     240.0  |   115.6 	  |-|	  240.0   |    464.0 
     245.0  |   118.3 	  |-|	  245.0   |    473.0 
     250.0  |   121.1 	  |-|	  250.0   |    482.0 
     255.0  |   123.9 	  |-|	  255.0   |    491.0 
     260.0  |   126.7 	  |-|	  260.0   |    500.0 
     265.0  |   129.4 	  |-|	  265.0   |    509.0 
     270.0  |   132.2 	  |-|	  270.0   |    518.0 
     275.0  |   135.0 	  |-|	  275.0   |    527.0 
     280.0  |   137.8 	  |-|	  280.0   |    536.0 
